id,FTID,belongtoDevice,Function,Location,Device,Type,description,voltage,current,resistance,isSocket,isSetPoint,isSensePoint
3358,=V01+S1-B2.3:3,V01+S1-B2.3,V01,S1,B2.3,Unknown,3,0,0,0,0,0,0
3359,=A02+K1.B1-X22-X22.2F:18,A02+K1.B1-X22-X22.2F,A02,K1.B1,X22-X22.2F,Terminal_Point,18,0,0,0,1,0,0
3360,=V01+K1.B1-A6:8,V01+K1.B1-A6,V01,K1.B1,A6,Unknown,8,0,0,0,0,0,0
3361,=A02+K1.B1-X22-X22.2M:18,A02+K1.B1-X22-X22.2M,A02,K1.B1,X22-X22.2M,Terminal_Point,18,0,0,0,1,0,0
3362,=V01+S1-B2.3:5,V01+S1-B2.3,V01,S1,B2.3,Unknown,5,0,0,0,0,0,0
3363,=V01+K1-W442.3:Schirm,V01+K1-W442.3,V01,K1,W442.3,Unknown,Schirm,0,0,0,0,0,0
3366,=V01+S1-B2.3:SE,V01+S1-B2.3,V01,S1,B2.3,Unknown,SE,0,0,0,0,0,0
3367,=A02+K1.B1-X22-X22.2F:19,A02+K1.B1-X22-X22.2F,A02,K1.B1,X22-X22.2F,Terminal_Point,19,0,0,0,1,0,0
3369,=A02+K1.B1-X22-X22.2M:19,A02+K1.B1-X22-X22.2M,A02,K1.B1,X22-X22.2M,Terminal_Point,19,0,0,0,1,0,0
3370,=V01+S1-B3.1:1,V01+S1-B3.1,V01,S1,B3.1,Unknown,1,0,0,0,0,0,0
3372,=A02+K1.B1-X22-X22.2F:20,A02+K1.B1-X22-X22.2F,A02,K1.B1,X22-X22.2F,Terminal_Point,20,0,0,0,1,0,0
3373,=A02+K1.B1-X22-X22.2M:20,A02+K1.B1-X22-X22.2M,A02,K1.B1,X22-X22.2M,Terminal_Point,20,0,0,0,1,0,0
3374,=V01+S1-B3.1:2,V01+S1-B3.1,V01,S1,B3.1,Unknown,2,0,0,0,0,0,0
3375,=A02+K1.B1-X22-X22.2F:21,A02+K1.B1-X22-X22.2F,A02,K1.B1,X22-X22.2F,Terminal_Point,21,0,0,0,1,0,0
3376,=V01+K1.B1-A7:1,V01+K1.B1-A7,V01,K1.B1,A7,Unknown,1,0,0,0,0,0,0
3377,=A02+K1.B1-X22-X22.2M:21,A02+K1.B1-X22-X22.2M,A02,K1.B1,X22-X22.2M,Terminal_Point,21,0,0,0,1,0,0
3378,=V01+S1-B3.1:3,V01+S1-B3.1,V01,S1,B3.1,Unknown,3,0,0,0,0,0,0
3379,=A02+K1.B1-X22-X22.2F:22,A02+K1.B1-X22-X22.2F,A02,K1.B1,X22-X22.2F,Terminal_Point,22,0,0,0,1,0,0
3380,=V01+K1.B1-A7:2,V01+K1.B1-A7,V01,K1.B1,A7,Unknown,2,0,0,0,0,0,0
3381,=A02+K1.B1-X22-X22.2M:22,A02+K1.B1-X22-X22.2M,A02,K1.B1,X22-X22.2M,Terminal_Point,22,0,0,0,1,0,0
3382,=V01+S1-B3.1:5,V01+S1-B3.1,V01,S1,B3.1,Unknown,5,0,0,0,0,0,0
3383,=V01+K1-W444:Schirm,V01+K1-W444,V01,K1,W444,Unknown,Schirm,0,0,0,0,0,0
3385,=A02+K1.B1-K21:34,A02+K1.B1-K21,A02,K1.B1,K21,Unknown,34,0,0,0,0,0,0
3386,=A02+K1.B1-X22-X22.2F:23,A02+K1.B1-X22-X22.2F,A02,K1.B1,X22-X22.2F,Terminal_Point,23,0,0,0,1,0,0
3388,=A02+K1.B1-X22-X22.3F:3,A02+K1.B1-X22-X22.3F,A02,K1.B1,X22-X22.3F,Terminal_Point,3,0,0,0,1,0,0
3389,=A02+K1.B1-X22-X22.2M:23,A02+K1.B1-X22-X22.2M,A02,K1.B1,X22-X22.2M,Terminal_Point,23,0,0,0,1,0,0
3390,=V01+S1-B3.1:7,V01+S1-B3.1,V01,S1,B3.1,Unknown,7,0,0,0,0,0,0
3391,=A02+K1.B1-X22-X22.2M:24,A02+K1.B1-X22-X22.2M,A02,K1.B1,X22-X22.2M,Terminal_Point,24,0,0,0,1,0,0
