id,FTID,belongtoDevice,Function,Location,Device,Type,description,voltage,current,resistance,isSocket,isSetPoint,isSensePoint
3524,=V01+S1-Y1.12:PE,V01+S1-Y1.12,V01,S1,Y1.12,Unknown,PE,0,0,0,0,0,0
3525,=A02+K1.B1-X22-X22.4F:12,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,12,0,0,0,1,0,0
3526,=V01+K1.B1-A4:3,V01+K1.B1-A4,V01,K1.B1,A4,Unknown,3,0,0,0,0,0,0
3527,=V01+S1-S2.2:BU,V01+S1-S2.2,V01,S1,S2.2,Unknown,BU,0,0,0,0,0,0
3528,=A02+K1.B1-X22-X22.4M:12,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,12,0,0,0,1,0,0
3529,=A02+K1.B1-X22-X22.4M:11,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,11,0,0,0,1,0,0
3530,=V01+S1-S2.2:BN,V01+S1-S2.2,V01,S1,S2.2,Unknown,BN,0,0,0,0,0,0
3532,=A02+K1.B1-X22-X22.4F:11,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,11,0,0,0,1,0,0
3533,=A02+K1.B1-X22-X22.4F:14,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,14,0,0,0,1,0,0
3534,=V01+K1.B1-A4:4,V01+K1.B1-A4,V01,K1.B1,A4,Unknown,4,0,0,0,0,0,0
3535,=V01+S1-S3.2:BU,V01+S1-S3.2,V01,S1,S3.2,Unknown,BU,0,0,0,0,0,0
3536,=A02+K1.B1-X22-X22.4M:14,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,14,0,0,0,1,0,0
