connection_number,source_name,source_location,source_type,target_name,target_location,target_type,wire_color
1148,=Q15+K1.B1-X20:8:5,,panel,=Q15+K1.G1-G4:X2.N,,panel,2
1149,=Q15+K1.B1-X20:8:2,,panel,=A02+K1.H2-X5:N:1,,panel,BU
1149,=A02+K1.H2-X5:N:1,,panel,=Q15+K1.B1-X20:8:2,,panel,BU
115,=A01+K1.H2-K2:1,,panel,=A01+K1.H2-W0:L1,,panel,BK
115,=A01+K1.H2-W0:L1,,panel,=A01+K1.H2-K2:1,,panel,BK
1152,=Q15+K1.H2-F14:11,,panel,=V01+K1.B1-A2:7,,PLC,BU
1152,=V01+K1.B1-A2:7,,PLC,=Q15+K1.H2-F14:11,,panel,BU
1153,=Q15+S1-A3:2,,PLC,=A02+K1.B1-X21-X21.6M:1,,panel,1
1153,=A02+K1.B1-X21-X21.6M:1,,panel,=Q15+S1-A3:2,,PLC,1
1154,=A02+K1.B1-X21-X21.6F:1,,panel,=V01+K1.B1-V2:2.1,,panel,BU
1154,=V01+K1.B1-V2:2.1,,panel,=A02+K1.B1-X21-X21.6F:1,,panel,BU
1155,=Q15+K1.B1-V2:1.1,,panel,=V01+K1.B1-W5(-P1):P1:1,,panel,BU
1155,=V01+K1.B1-W5(-P1):P1:1,,panel,=Q15+K1.B1-V2:1.1,,panel,BU
1156,=Q15+S1-A3:1,,PLC,=A02+K1.B1-X21-X21.6M:2,,panel,2
1156,=A02+K1.B1-X21-X21.6M:2,,panel,=Q15+S1-A3:1,,PLC,2
1157,=A02+K1.B1-X21-X21.6F:2,,panel,=Q15+K1.B1-V2:3.2,,panel,BU
1157,=Q15+K1.B1-V2:3.2,,panel,=A02+K1.B1-X21-X21.6F:2,,panel,BU
1158,=Q15+K1.B1-V2:3.1,,panel,=V01+K1.B1-W5(-P2):P2:2,,panel,BU
1158,=V01+K1.B1-W5(-P2):P2:2,,panel,=Q15+K1.B1-V2:3.1,,panel,BU
116,=A02+K1.H2-W4:1L2,,panel,=A01+K1.H2-K2:4,,panel,BU
116,=A01+K1.H2-K2:4,,panel,=A02+K1.H2-W4:1L2,,panel,BU
1161,=Q15+K1.G1-G4:4,,panel,=Q15+K1.B1-A24:X1:4,,PLC,BU
1161,=Q15+K1.B1-A24:X1:4,,PLC,=Q15+K1.G1-G4:4,,panel,BU
1162,=Q15+K1.B1-R4:1,,panel,=Q15+K1.B1-A24:X2:4,,PLC,BU
1162,=Q15+K1.B1-A24:X2:4,,PLC,=Q15+K1.B1-R4:1,,panel,BU
1163,=Q15+K1.B1-R4:2,,panel,=V01+K1.B1-K4:11,,panel,BU
1163,=V01+K1.B1-K4:11,,panel,=Q15+K1.B1-R4:2,,panel,BU
1164,=V01+K1.B1-K4:14,,panel,=V01+K1.B1-W5(-P1):P1:1,,panel,BU
1164,=V01+K1.B1-W5(-P1):P1:1,,panel,=V01+K1.B1-K4:14,,panel,BU
1165,=V01+K1.B1-K4:A1,,panel,=V01+K1.B1-A1:6,,PLC,BU
1165,=V01+K1.B1-A1:6,,PLC,=V01+K1.B1-K4:A1,,panel,BU
1166,=Q15+K1.G1-G4:17,,panel,=Q15+K1.B1-A24:X1:17,,PLC,RD
1166,=Q15+K1.B1-A24:X1:17,,PLC,=Q15+K1.G1-G4:17,,panel,RD
1167,=Q15+K1.G1-G4:5,,panel,=Q15+K1.B1-A24:X1:5,,PLC,WH
1167,=Q15+K1.B1-A24:X1:5,,PLC,=Q15+K1.G1-G4:5,,panel,WH
1168,=Q15+K1.G1-G4:18,,panel,=Q15+K1.B1-A24:X1:18,,PLC,BN
1168,=Q15+K1.B1-A24:X1:18,,PLC,=Q15+K1.G1-G4:18,,panel,BN
1169,=Q15+K1.G1-G4:2,,panel,=Q15+K1.B1-A24:X1:2,,PLC,GN
1169,=Q15+K1.B1-A24:X1:2,,PLC,=Q15+K1.G1-G4:2,,panel,GN
117,=A01+K1.H2-K2:3,,panel,=A01+K1.H2-W0:L2,,panel,BK
117,=A01+K1.H2-W0:L2,,panel,=A01+K1.H2-K2:3,,panel,BK
1170,=Q15+K1.G1-G4:15,,panel,=Q15+K1.B1-A24:X1:15,,PLC,YE
1170,=Q15+K1.B1-A24:X1:15,,PLC,=Q15+K1.G1-G4:15,,panel,YE
1171,=Q15+K1.G1-G4:16,,panel,=Q15+K1.B1-A24:X1:16,,PLC,PK
1171,=Q15+K1.B1-A24:X1:16,,PLC,=Q15+K1.G1-G4:16,,panel,PK
1172,=Q15+K1.G1-G4:10,,panel,=Q15+K1.B1-A24:X1:10,,PLC,BK
1172,=Q15+K1.B1-A24:X1:10,,PLC,=Q15+K1.G1-G4:10,,panel,BK
1173,=Q15+K1.B1-A24:X2:23,,PLC,=Q15+K1.B1-A24:X2:10,,PLC,BU
1173,=Q15+K1.B1-A24:X2:10,,PLC,=Q15+K1.B1-A24:X2:23,,PLC,BU
1174,=Q15+K1.G1-G4:23,,panel,=Q15+K1.B1-A24:X1:23,,PLC,VT
1174,=Q15+K1.B1-A24:X1:23,,PLC,=Q15+K1.G1-G4:23,,panel,VT
1175,=Q15+K1.G1-G4:CASE,,panel,=A02+K1.B1-W9:SE,,panel,VT
1175,=A02+K1.B1-W9:SE,,panel,=Q15+K1.G1-G4:CASE,,panel,VT
1177,=Q15+K1.B1-A24:X2:17,,PLC,=V01+K1.B1-K4:A2,,panel,BU
1177,=V01+K1.B1-K4:A2,,panel,=Q15+K1.B1-A24:X2:17,,PLC,BU
1178,=Q15+K1.B1-A24:X2:17,,PLC,=V01+K1.B1-W5(-P2):P2:2,,panel,BU
1178,=V01+K1.B1-W5(-P2):P2:2,,panel,=Q15+K1.B1-A24:X2:17,,PLC,BU
1179,=Q15+K1.B1-A24:X2:5,,PLC,=V01+K1.B1-A5:3,,PLC,WH
1179,=V01+K1.B1-A5:3,,PLC,=Q15+K1.B1-A24:X2:5,,PLC,WH
118,=A02+K1.H2-W4:1L3,,panel,=A01+K1.H2-K2:6,,panel,BU
118,=A01+K1.H2-K2:6,,panel,=A02+K1.H2-W4:1L3,,panel,BU
1180,=Q15+K1.B1-A24:X2:18,,PLC,=Q15+K1.B1-A5:4,,PLC,BN
1180,=Q15+K1.B1-A5:4,,PLC,=Q15+K1.B1-A24:X2:18,,PLC,BN
1181,=Q15+K1.B1-A24:X2:2,,PLC,=V01+K1.B1-A6:3,,PLC,GN
1181,=V01+K1.B1-A6:3,,PLC,=Q15+K1.B1-A24:X2:2,,PLC,GN
1182,=Q15+K1.B1-A24:X2:15,,PLC,=V01+K1.B1-A6:4,,PLC,YE
1182,=V01+K1.B1-A6:4,,PLC,=Q15+K1.B1-A24:X2:15,,PLC,YE
1183,=Q15+K1.G1-G4:3,,panel,=Q15+K1.B1-A24:X1:3,,PLC,GY
1183,=Q15+K1.B1-A24:X1:3,,PLC,=Q15+K1.G1-G4:3,,panel,GY
1184,=Q15+K1.B1-A24:X2:3,,PLC,=V01+K1.B1-A6:7,,PLC,GY
1184,=V01+K1.B1-A6:7,,PLC,=Q15+K1.B1-A24:X2:3,,PLC,GY
1185,=Q15+K1.B1-A24:X2:16,,PLC,=V01+K1.B1-A6:8,,PLC,PK
1185,=V01+K1.B1-A6:8,,PLC,=Q15+K1.B1-A24:X2:16,,PLC,PK
1187,=Q15+K1.G1-G5:L,,panel,=Q15+K1.B1-X20:9:4,,panel,1
1187,=Q15+K1.B1-X20:9:4,,panel,=Q15+K1.G1-G5:L,,panel,1
1188,=Q15+K1.B1-X20:9:3,,panel,=Q15+K1.H2-F15:2,,panel,BK
1188,=Q15+K1.H2-F15:2,,panel,=Q15+K1.B1-X20:9:3,,panel,BK
1189,=Q15+K1.H2-F15:1,,panel,=A02+K1.H2-W2.1:2L2,,panel,direkt verbunden
1189,=A02+K1.H2-W2.1:2L2,,panel,=Q15+K1.H2-F15:1,,panel,direkt verbunden
119,=A01+K1.H2-K2:5,,panel,=A01+K1.H2-W0:L3,,panel,BK
119,=A01+K1.H2-W0:L3,,panel,=A01+K1.H2-K2:5,,panel,BK
1191,=Q15+K1.B1-X20:10:2,,panel,=A02+K1.H2-X5:8:2,,panel,BU
1191,=A02+K1.H2-X5:8:2,,panel,=Q15+K1.B1-X20:10:2,,panel,BU
1194,=Q15+K1.G1-G5:INTL.2,,panel,=Q15+K1.G1-G5:INTL.1,,panel,BU
1194,=Q15+K1.G1-G5:INTL.1,,panel,=Q15+K1.G1-G5:INTL.2,,panel,BU
1195,=Q15+K1.B1-A2:15,,PLC,=Q15+K1.H2-F15:11,,panel,BU
1195,=Q15+K1.H2-F15:11,,panel,=Q15+K1.B1-A2:15,,PLC,BU
1196,=Q15+K1.G1-G5:ANALOG.1,,panel,=Q15+K1.B1-A25:X1.1,,PLC,WH
1196,=Q15+K1.B1-A25:X1.1,,PLC,=Q15+K1.G1-G5:ANALOG.1,,panel,WH
1197,=Q15+K1.B1-A25:X2.1,,PLC,=Q15+K1.B1-U1:.10,,panel,BU
1197,=Q15+K1.B1-U1:.10,,panel,=Q15+K1.B1-A25:X2.1,,PLC,BU
1198,=Q15+K1.B1-U1:.1,,panel,=Q15+K1.B1-A1:16,,PLC,BU
1198,=Q15+K1.B1-A1:16,,PLC,=Q15+K1.B1-U1:.1,,panel,BU
1199,=Q15+K1.G1-G5:ANALOG.2,,panel,=Q15+K1.B1-A25:X1.2,,PLC,BN
1199,=Q15+K1.B1-A25:X1.2,,PLC,=Q15+K1.G1-G5:ANALOG.2,,panel,BN
12,=A02+K1.H2-X5:N:1,,panel,=A01+K1.H2-X1:N:2,,panel,BU
12,=A01+K1.H2-X1:N:2,,panel,=A02+K1.H2-X5:N:1,,panel,BU
120,=A02+K1.H2-W2.1:2L3,,panel,=A02+K1.H2-W2:2L3,,panel,BU
120,=A02+K1.H2-W2:2L3,,panel,=A02+K1.H2-W2.1:2L3,,panel,BU
1200,=Q15+K1.B1-A25:X2.2,,PLC,=Q15+K1.B1-U1:.11,,panel,BU
1200,=Q15+K1.B1-U1:.11,,panel,=Q15+K1.B1-A25:X2.2,,PLC,BU
1201,=Q15+K1.B1-U1:.2,,panel,=Q15+K1.B1-A1:15,,PLC,BU
1201,=Q15+K1.B1-A1:15,,PLC,=Q15+K1.B1-U1:.2,,panel,BU
1202,=Q15+K1.G1-G5:ANALOG.3,,panel,=Q15+K1.B1-A25:X1.3,,PLC,GN
1202,=Q15+K1.B1-A25:X1.3,,PLC,=Q15+K1.G1-G5:ANALOG.3,,panel,GN
1203,=Q15+K1.B1-A25:X2.3,,PLC,=Q15+K1.B1-U1:.12,,panel,BU
1203,=Q15+K1.B1-U1:.12,,panel,=Q15+K1.B1-A25:X2.3,,PLC,BU
1204,=Q15+K1.B1-W5(-P2):P2:6,,panel,=Q15+K1.B1-U1:.12,,panel,BU
1204,=Q15+K1.B1-U1:.12,,panel,=Q15+K1.B1-W5(-P2):P2:6,,panel,BU
1205,=Q15+K1.B1-U1:.3,,panel,=Q15+K1.B1-W5(-P2):P2:6,,panel,BU
1205,=Q15+K1.B1-W5(-P2):P2:6,,panel,=Q15+K1.B1-U1:.3,,panel,BU
1206,=Q15+K1.B1-U1:.6,,panel,=Q15+K1.B1-U1:.3,,panel,BU
1206,=Q15+K1.B1-U1:.3,,panel,=Q15+K1.B1-U1:.6,,panel,BU
1207,=Q15+K1.B1-U1:.9,,panel,=Q15+K1.B1-W5(-P1):P1:5,,panel,BU
1207,=Q15+K1.B1-W5(-P1):P1:5,,panel,=Q15+K1.B1-U1:.9,,panel,BU
1208,=Q15+K1.G1-G5:ANALOG.5,,panel,=Q15+K1.B1-A25:X1.5,,PLC,GY
1208,=Q15+K1.B1-A25:X1.5,,PLC,=Q15+K1.G1-G5:ANALOG.5,,panel,GY
1209,=Q15+K1.B1-A25:X1.18,,PLC,=Q15+K1.G1-G5:ANALOG.18,,panel,GYBN
1209,=Q15+K1.G1-G5:ANALOG.18,,panel,=Q15+K1.B1-A25:X1.18,,PLC,GYBN
121,=A02+K1.H2-W2.1:2L2,,panel,=A02+K1.H2-W2:2L2,,panel,BU
121,=A02+K1.H2-W2:2L2,,panel,=A02+K1.H2-W2.1:2L2,,panel,BU
1210,=Q15+K1.B1-A25:X2.18,,PLC,=Q15+K1.B1-U2:.1,,panel,BU
1210,=Q15+K1.B1-U2:.1,,panel,=Q15+K1.B1-A25:X2.18,,PLC,BU
1211,=Q15+K1.B1-U2:.10,,panel,=Q15+K1.B1-A2:16,,PLC,BU
1211,=Q15+K1.B1-A2:16,,PLC,=Q15+K1.B1-U2:.10,,panel,BU
1212,=Q15+K1.G1-G5:ANALOG.6,,panel,=Q15+K1.B1-A25:X1.6,,PLC,PK
1212,=Q15+K1.B1-A25:X1.6,,PLC,=Q15+K1.G1-G5:ANALOG.6,,panel,PK
1213,=Q15+K1.B1-A25:X2.6,,PLC,=Q15+K1.B1-U2:.3,,panel,BU
1213,=Q15+K1.B1-U2:.3,,panel,=Q15+K1.B1-A25:X2.6,,PLC,BU
1214,=Q15+K1.B1-W5(-P2):P2:7,,panel,=Q15+K1.B1-U2:.3,,panel,BU
1214,=Q15+K1.B1-U2:.3,,panel,=Q15+K1.B1-W5(-P2):P2:7,,panel,BU
1215,=Q15+K1.B1-U2:.12,,panel,=Q15+K1.B1-W5(-P2):P2:7,,panel,BU
1215,=Q15+K1.B1-W5(-P2):P2:7,,panel,=Q15+K1.B1-U2:.12,,panel,BU
1216,=Q15+K1.B1-U2:.6,,panel,=Q15+K1.B1-U2:.12,,panel,BU
1216,=Q15+K1.B1-U2:.12,,panel,=Q15+K1.B1-U2:.6,,panel,BU
1217,=Q15+K1.B1-U2:.9,,panel,=Q15+K1.B1-W5(-P1):P1:6,,panel,BU
1217,=Q15+K1.B1-W5(-P1):P1:6,,panel,=Q15+K1.B1-U2:.9,,panel,BU
1218,=Q15+K1.B1-A25:X1.13,,PLC,=Q15+K1.G1-G5:ANALOG.13,,panel,WHGN
1218,=Q15+K1.G1-G5:ANALOG.13,,panel,=Q15+K1.B1-A25:X1.13,,PLC,WHGN
1219,=Q15+K1.B1-A25:X1.15,,PLC,=Q15+K1.G1-G5:ANALOG.15,,panel,WHYE
1219,=Q15+K1.G1-G5:ANALOG.15,,panel,=Q15+K1.B1-A25:X1.15,,PLC,WHYE
122,=A02+K1.H2-W2.1:2L1,,panel,=A02+K1.H2-W2:2L1,,panel,BU
122,=A02+K1.H2-W2:2L1,,panel,=A02+K1.H2-W2.1:2L1,,panel,BU
1220,=Q15+K1.G1-G5:ANA.7,,panel,=Q15+K1.B1-A25:X1.7,,PLC,BU
1220,=Q15+K1.B1-A25:X1.7,,PLC,=Q15+K1.G1-G5:ANA.7,,panel,BU
1221,=Q15+K1.B1-A25:X1.11,,PLC,=Q15+K1.G1-G5:ANA.11,,panel,GYPK
1221,=Q15+K1.G1-G5:ANA.11,,panel,=Q15+K1.B1-A25:X1.11,,PLC,GYPK
1222,=Q15+K1.B1-A25:X1.19,,PLC,=Q15+K1.G1-G5:ANA.19,,panel,WHPK
1222,=Q15+K1.G1-G5:ANA.19,,panel,=Q15+K1.B1-A25:X1.19,,PLC,WHPK
1223,=Q15+K1.B1-A25:X1.21,,PLC,=Q15+K1.G1-G5:ANA.21,,panel,WHBU
1223,=Q15+K1.G1-G5:ANA.21,,panel,=Q15+K1.B1-A25:X1.21,,PLC,WHBU
1224,=Q15+K1.B1-A25:X1.14,,PLC,=Q15+K1.G1-G5:ANA.14,,panel,BNGN
1224,=Q15+K1.G1-G5:ANA.14,,panel,=Q15+K1.B1-A25:X1.14,,PLC,BNGN
1225,=Q15+K1.B1-A25:X1.16,,PLC,=Q15+K1.G1-G5:ANA.16,,panel,YEBN
1225,=Q15+K1.G1-G5:ANA.16,,panel,=Q15+K1.B1-A25:X1.16,,PLC,YEBN
1226,=Q15+K1.B1-A25:X1.23,,PLC,=Q15+K1.G1-G5:ANA.23,,panel,WHRD
1226,=Q15+K1.G1-G5:ANA.23,,panel,=Q15+K1.B1-A25:X1.23,,PLC,WHRD
1227,=Q15+K1.B1-A25:X1.24,,PLC,=Q15+K1.G1-G5:ANA.24,,panel,BNRD
1227,=Q15+K1.G1-G5:ANA.24,,panel,=Q15+K1.B1-A25:X1.24,,PLC,BNRD
123,=A02+K1.B1-V1(0):1,,panel,=A02+K1.H1-G2:+V,,panel,BU
123,=A02+K1.H1-G2:+V,,panel,=A02+K1.B1-V1(0):1,,panel,BU
1230,=Q15+K1.B1-A25:X2.7,,PLC,=Q15+K1.B1-A8:1,,PLC,WH
1230,=Q15+K1.B1-A8:1,,PLC,=Q15+K1.B1-A25:X2.7,,PLC,WH
1232,=Q15+K1.B1-A25:X2.19,,PLC,=Q15+K1.B1-A8:5,,PLC,GN
1232,=Q15+K1.B1-A8:5,,PLC,=Q15+K1.B1-A25:X2.19,,PLC,GN
1234,=Q15+K1.B1-A25:X2.14,,PLC,=V01+K1.B1-A7:1,,PLC,GY
1234,=V01+K1.B1-A7:1,,PLC,=Q15+K1.B1-A25:X2.14,,PLC,GY
1236,=Q15+K1.B1-A25:X2.23,,PLC,=V01+K1.B1-A7:5,,PLC,RD
1236,=V01+K1.B1-A7:5,,PLC,=Q15+K1.B1-A25:X2.23,,PLC,RD
1248,=Q15+K1.B1-X21:1:4,,panel,=V01+K1.B1-A1:11,,PLC,BU
1248,=V01+K1.B1-A1:11,,PLC,=Q15+K1.B1-X21:1:4,,panel,BU
1249,=Q15+K1.B1-X21:2:5,,panel,=V01+K1.B1-W5(-P2):P2:1,,panel,BU
1249,=V01+K1.B1-W5(-P2):P2:1,,panel,=Q15+K1.B1-X21:2:5,,panel,BU
1253,=Q15+K1.B1-X21:1:3,,panel,=Q15+S1-A1-1,,PLC,1
1253,=Q15+S1-A1-1,,PLC,=Q15+K1.B1-X21:1:3,,panel,1
1255,=Q15+K1.B1-X21:2:2,,panel,=Q15+S1-A1-2,,PLC,2
1255,=Q15+S1-A1-2,,PLC,=Q15+K1.B1-X21:2:2,,panel,2
1257,=Q15+K1.B1-X21:3:2,,panel,=Q15+S1-A1-4,,PLC,3
1257,=Q15+S1-A1-4,,PLC,=Q15+K1.B1-X21:3:2,,panel,3
1258,=Q15+K1.G1-G2:2,,panel,=Q15+K1.B1-X21:4:4,,panel,2
1258,=Q15+K1.B1-X21:4:4,,panel,=Q15+K1.G1-G2:2,,panel,2
1259,=Q15+K1.B1-X21:4:3,,panel,=Q15+S1-A1-5,,PLC,4
1259,=Q15+S1-A1-5,,PLC,=Q15+K1.B1-X21:4:3,,panel,4
1261,=Q15+K1.B1-X21:3:5,,panel,=Q15+K1.G1-G3:1,,panel,1
1261,=Q15+K1.G1-G3:1,,panel,=Q15+K1.B1-X21:3:5,,panel,1
1262,=Q15+K1.G1-G2:1,,panel,=Q15+K1.B1-X21:3:5,,panel,1
1262,=Q15+K1.B1-X21:3:5,,panel,=Q15+K1.G1-G2:1,,panel,1
1266,=Q15+S1-A1-K1:A1,,PLC,=Q15+S1-A1:A:3,,PLC,BU
1266,=Q15+S1-A1:A:3,,PLC,=Q15+S1-A1-K1:A1,,PLC,BU
1268,=Q15+S1-A1:B:3,,PLC,=Q15+S1-A1-K1:A2,,PLC,BU
1268,=Q15+S1-A1-K1:A2,,PLC,=Q15+S1-A1:B:3,,PLC,BU
1269,=Q15+S1-A1:1:4,,PLC,=Q15+S1-A1-C1,,PLC,BU
1269,=Q15+S1-A1-C1,,PLC,=Q15+S1-A1:1:4,,PLC,BU
127,=A02+K1.B1-W6(-P2):P2:1,,panel,=A02+K1.H1-G2:-V,,panel,BU
127,=A02+K1.H1-G2:-V,,panel,=A02+K1.B1-W6(-P2):P2:1,,panel,BU
1270,=Q15+S1-A1-L1,,PLC,=Q15+S1-A1:1:4,,PLC,BU
1270,=Q15+S1-A1:1:4,,PLC,=Q15+S1-A1-L1,,PLC,BU
1271,=Q15+S1-A1-0:12,,PLC,=Q15+S1-A1-L1,,PLC,BU
1271,=Q15+S1-A1-L1,,PLC,=Q15+S1-A1-0:12,,PLC,BU
1274,=Q15+S1-A1-C2,,PLC,=Q15+S1-A1-L1,,PLC,BU
1274,=Q15+S1-A1-L1,,PLC,=Q15+S1-A1-C2,,PLC,BU
1275,=Q15+S1-A1:D:3,,PLC,=Q15+S1-A1-0:11,,PLC,BU
1275,=Q15+S1-A1-0:11,,PLC,=Q15+S1-A1:D:3,,PLC,BU
1276,=Q15+S1-A1-L2,,PLC,=Q15+S1-A1-0:14,,PLC,BU
1276,=Q15+S1-A1-0:14,,PLC,=Q15+S1-A1-L2,,PLC,BU
1279,=Q15+S1-A1:E:3,,PLC,=Q15+S1-A1-L3,,PLC,BU
1279,=Q15+S1-A1-L3,,PLC,=Q15+S1-A1:E:3,,PLC,BU
128,=A02+K1.H1-G2:PE,,panel,=A02+K1.H2-X6:PE:2,,panel,GNYE
128,=A02+K1.H2-X6:PE:2,,panel,=A02+K1.H1-G2:PE,,panel,GNYE
1280,=Q15+S1-A1-C4,,PLC,=Q15+S1-A1:E:3,,PLC,BU
1280,=Q15+S1-A1:E:3,,PLC,=Q15+S1-A1-C4,,PLC,BU
1281,=Q15+S1-A1:3:4,,PLC,=Q15+S1-A1-L3,,PLC,BU
1281,=Q15+S1-A1-L3,,PLC,=Q15+S1-A1:3:4,,PLC,BU
1282,=Q15+S1-A1-C3,,PLC,=Q15+S1-A1-L3,,PLC,BU
1282,=Q15+S1-A1-L3,,PLC,=Q15+S1-A1-C3,,PLC,BU
1284,=Q15+S1-A1-C3,,PLC,=Q15+S1-A1-C2,,PLC,BU
1284,=Q15+S1-A1-C2,,PLC,=Q15+S1-A1-C3,,PLC,BU
1285,=A02+K1.B1-X20-X20.1M:5,,panel,=A02+S1-A21-X1:5,,PLC,GY
1285,=A02+S1-A21-X1:5,,PLC,=A02+K1.B1-X20-X20.1M:5,,panel,GY
1286,=A02+K1.B1-X20-X20.1F:5,,panel,=V01+K1.B1-A1:12,,PLC,BU
1286,=V01+K1.B1-A1:12,,PLC,=A02+K1.B1-X20-X20.1F:5,,panel,BU
1287,=A02+K1.B1-X20-X20.1M:6,,panel,=A02+S1-A21-X1:6,,PLC,PK
1287,=A02+S1-A21-X1:6,,PLC,=A02+K1.B1-X20-X20.1M:6,,panel,PK
1288,=A02+K1.B1-X20-X20.1F:6,,panel,=V01+K1.B1-A1:13,,PLC,BU
1288,=V01+K1.B1-A1:13,,PLC,=A02+K1.B1-X20-X20.1F:6,,panel,BU
1289,=A02+K1.B1-X21-X21.6F:5,,panel,=V01+K1.B1-W5(-P2):P2:2,,panel,BU
1289,=V01+K1.B1-W5(-P2):P2:2,,panel,=A02+K1.B1-X21-X21.6F:5,,panel,BU
129,=A02+K1.H2-X6:PE:1,,panel,=A02+K1.H1-G2:-V',,panel,GNYE
129,=A02+K1.H1-G2:-V',,panel,=A02+K1.H2-X6:PE:1,,panel,GNYE
1292,=A02+K1.B1-X21-X21.6F:4,,panel,=V01+K1.B1-A1:14,,PLC,BU
1292,=V01+K1.B1-A1:14,,PLC,=A02+K1.B1-X21-X21.6F:4,,panel,BU
1295,=V01+K1.B1-W6(-P2):X1:6,,panel,=V01+K1.B1-W5(-P2):X1:9,,panel,BU
1295,=V01+K1.B1-W5(-P2):X1:9,,panel,=V01+K1.B1-W6(-P2):X1:6,,panel,BU
1296,=S02+K1.H1-V1.1:1,,panel,=S02+K1.H2-Q1:2,,panel,BK
1296,=S02+K1.H2-Q1:2,,panel,=S02+K1.H1-V1.1:1,,panel,BK
1297,=A02+K1.H2-W4:4L1,,panel,=S02+K1.H2-Q1:1,,panel,direkt verbunden
1297,=S02+K1.H2-Q1:1,,panel,=A02+K1.H2-W4:4L1,,panel,direkt verbunden
1298,=S02+K1.H1-V1.2:1,,panel,=S02+K1.H2-Q1:4,,panel,BK
1298,=S02+K1.H2-Q1:4,,panel,=S02+K1.H1-V1.2:1,,panel,BK
1299,=A02+K1.H2-W4:4L2,,panel,=S02+K1.H2-Q1:3,,panel,direkt verbunden
1299,=S02+K1.H2-Q1:3,,panel,=A02+K1.H2-W4:4L2,,panel,direkt verbunden
13,N,,,=A01+K1.H2-X1:N:1,,panel,BK
13,=A01+K1.H2-X1:N:1,,panel,N,,,BK
130,=A02+K1.B1-X200:L,,panel,=M01+K1.H2-F2:2,,panel,BK
130,=M01+K1.H2-F2:2,,panel,=A02+K1.B1-X200:L,,panel,BK
1300,=S02+K1.H1-V1.3:1,,panel,=S02+K1.H2-Q1:6,,panel,BK
1300,=S02+K1.H2-Q1:6,,panel,=S02+K1.H1-V1.3:1,,panel,BK
1301,=S02+K1.H2-Q1:5,,panel,=A02+K1.H2-W4:4L3,,panel,direkt verbunden
1301,=A02+K1.H2-W4:4L3,,panel,=S02+K1.H2-Q1:5,,panel,direkt verbunden
1302,=S02+K1.H1-V2.1:1,,panel,=S02+K1.H2-Q2:2,,panel,BK
1302,=S02+K1.H2-Q2:2,,panel,=S02+K1.H1-V2.1:1,,panel,BK
1303,=S02+K1.H2-Q2:1,,panel,=A02+K1.H2-W4:4L1,,panel,direkt verbunden
1303,=A02+K1.H2-W4:4L1,,panel,=S02+K1.H2-Q2:1,,panel,direkt verbunden
1304,=S02+K1.H1-V2.2:1,,panel,=S02+K1.H2-Q2:4,,panel,BK
1304,=S02+K1.H2-Q2:4,,panel,=S02+K1.H1-V2.2:1,,panel,BK
1305,=S02+K1.H2-Q2:3,,panel,=A02+K1.H2-W4:4L2,,panel,direkt verbunden
1305,=A02+K1.H2-W4:4L2,,panel,=S02+K1.H2-Q2:3,,panel,direkt verbunden
1306,=S02+K1.H1-V2.3:1,,panel,=S02+K1.H2-Q2:6,,panel,BK
1306,=S02+K1.H2-Q2:6,,panel,=S02+K1.H1-V2.3:1,,panel,BK
1307,=S02+K1.H2-Q2:5,,panel,=A02+K1.H2-W4:4L3,,panel,direkt verbunden
1307,=A02+K1.H2-W4:4L3,,panel,=S02+K1.H2-Q2:5,,panel,direkt verbunden
1308,=V01+K1.H2-Q1:14,,panel,=V01+K1.B1-A1:1,,PLC,BU
1308,=V01+K1.B1-A1:1,,PLC,=V01+K1.H2-Q1:14,,panel,BU
1309,=V01+K1.B1-W5(-P1):P1:2,,panel,=V01+K1.H2-Q1:13,,panel,BU
1309,=V01+K1.H2-Q1:13,,panel,=V01+K1.B1-W5(-P1):P1:2,,panel,BU
131,=M01+K1.H2-F2:1,,panel,=A01+K1.H2-W0:L1,,panel,direkt verbunden
131,=A01+K1.H2-W0:L1,,panel,=M01+K1.H2-F2:1,,panel,direkt verbunden
1310,=V01+K1.H2-Q2:14,,panel,=V01+K1.B1-A1:5,,PLC,BU
1310,=V01+K1.B1-A1:5,,PLC,=V01+K1.H2-Q2:14,,panel,BU
1311,=V01+K1.H2-Q2:13,,panel,=V01+K1.B1-W5(-P1):P1:1,,panel,BU
1311,=V01+K1.B1-W5(-P1):P1:1,,panel,=V01+K1.H2-Q2:13,,panel,BU
1313,=S02+K1.H1-V1.1:A2,,panel,=V01+K1.B1-W5(-P2):P2:2,,panel,BU
1313,=V01+K1.B1-W5(-P2):P2:2,,panel,=S02+K1.H1-V1.1:A2,,panel,BU
1314,=S02+K1.H1-V1.1:A1,,panel,=V01+K1.B1-A1:10,,PLC,BU
1314,=V01+K1.B1-A1:10,,PLC,=S02+K1.H1-V1.1:A1,,panel,BU
1316,=S02+K1.H1-V1.2:A2,,panel,=V01+K1.B1-W5(-P2):P2:2,,panel,BU
1316,=V01+K1.B1-W5(-P2):P2:2,,panel,=S02+K1.H1-V1.2:A2,,panel,BU
1317,=S02+K1.H1-V1.2:A1,,panel,=V01+K1.B1-A1:11,,PLC,BU
1317,=V01+K1.B1-A1:11,,PLC,=S02+K1.H1-V1.2:A1,,panel,BU
1319,=S02+K1.H1-F1.3:1,,panel,=S02+K1.H1-V1.3:2,,panel,BK
