connection_number,source_name,source_location,source_type,target_name,target_location,target_type,wire_color
1039,=Q15+K1.B1-K1:14,,panel,=V01+K1.B1-W5(-P1):P1:1,,panel,BU
1039,=V01+K1.B1-W5(-P1):P1:1,,panel,=Q15+K1.B1-K1:14,,panel,BU
104,=A02+K1.H2-W1:1L3,,panel,=A01+K1.H2-W0:L3,,panel,BK
104,=A01+K1.H2-W0:L3,,panel,=A02+K1.H2-W1:1L3,,panel,BK
1040,=Q15+K1.B1-K1:A1,,panel,=V01+K1.B1-A1:1,,PLC,BU
1040,=V01+K1.B1-A1:1,,PLC,=Q15+K1.B1-K1:A1,,panel,BU
1041,=Q15+K1.G1-G1:17,,panel,=Q15+K1.B1-A21:X1:17,,PLC,RD
1041,=Q15+K1.B1-A21:X1:17,,PLC,=Q15+K1.G1-G1:17,,panel,RD
1042,=Q15+K1.G1-G1:5,,panel,=Q15+K1.B1-A21:X1:5,,PLC,WH
1042,=Q15+K1.B1-A21:X1:5,,PLC,=Q15+K1.G1-G1:5,,panel,WH
1043,=Q15+K1.G1-G1:18,,panel,=Q15+K1.B1-A21:X1:18,,PLC,BN
1043,=Q15+K1.B1-A21:X1:18,,PLC,=Q15+K1.G1-G1:18,,panel,BN
1044,=Q15+K1.G1-G1:2,,panel,=Q15+K1.B1-A21:X1:2,,PLC,GN
1044,=Q15+K1.B1-A21:X1:2,,PLC,=Q15+K1.G1-G1:2,,panel,GN
1045,=Q15+K1.G1-G1:15,,panel,=Q15+K1.B1-A21:X1:15,,PLC,YE
1045,=Q15+K1.B1-A21:X1:15,,PLC,=Q15+K1.G1-G1:15,,panel,YE
1046,=Q15+K1.G1-G1:3,,panel,=Q15+K1.B1-A21:X1:3,,PLC,GY
1046,=Q15+K1.B1-A21:X1:3,,PLC,=Q15+K1.G1-G1:3,,panel,GY
1048,=Q15+K1.G1-G1:10,,panel,=Q15+K1.B1-A21:X1:10,,PLC,BK
1048,=Q15+K1.B1-A21:X1:10,,PLC,=Q15+K1.G1-G1:10,,panel,BK
1049,=Q15+K1.B1-A21:X2:23,,PLC,=Q15+K1.B1-A21:X2:10,,PLC,BU
1049,=Q15+K1.B1-A21:X2:10,,PLC,=Q15+K1.B1-A21:X2:23,,PLC,BU
105,=A02+K1.H2-W2:2L1,,panel,=A01+K1.H2-K1:2,,panel,BK
105,=A01+K1.H2-K1:2,,panel,=A02+K1.H2-W2:2L1,,panel,BK
1050,=Q15+K1.G1-G1:23,,panel,=Q15+K1.B1-A21:X1:23,,PLC,VT
1050,=Q15+K1.B1-A21:X1:23,,PLC,=Q15+K1.G1-G1:23,,panel,VT
1054,=Q15+K1.B1-A21:X2:17,,PLC,=Q15+K1.B1-K1:A2,,panel,BU
1054,=Q15+K1.B1-K1:A2,,panel,=Q15+K1.B1-A21:X2:17,,PLC,BU
1055,=Q15+K1.B1-A21:X2:17,,PLC,=V01+K1.B1-W5(-P2):P2:2,,panel,BU
1055,=V01+K1.B1-W5(-P2):P2:2,,panel,=Q15+K1.B1-A21:X2:17,,PLC,BU
1056,=Q15+K1.B1-A21:X2:5,,PLC,=V01+K1.B1-A3:1,,PLC,WH
1056,=V01+K1.B1-A3:1,,PLC,=Q15+K1.B1-A21:X2:5,,PLC,WH
1057,=Q15+K1.B1-A21:X2:18,,PLC,=V01+K1.B1-A3:2,,PLC,BN
1057,=V01+K1.B1-A3:2,,PLC,=Q15+K1.B1-A21:X2:18,,PLC,BN
1058,=Q15+K1.B1-A21:X2:2,,PLC,=V01+K1.B1-A4:1,,PLC,GN
1058,=V01+K1.B1-A4:1,,PLC,=Q15+K1.B1-A21:X2:2,,PLC,GN
1059,=Q15+K1.B1-A21:X2:15,,PLC,=V01+K1.B1-A4:2,,PLC,YE
1059,=V01+K1.B1-A4:2,,PLC,=Q15+K1.B1-A21:X2:15,,PLC,YE
106,=A01+K1.H2-K1:1,,panel,=A01+K1.H2-W0:L1,,panel,BK
106,=A01+K1.H2-W0:L1,,panel,=A01+K1.H2-K1:1,,panel,BK
1060,=Q15+K1.B1-A21:X2:3,,PLC,=V01+K1.B1-A4:5,,PLC,GY
1060,=V01+K1.B1-A4:5,,PLC,=Q15+K1.B1-A21:X2:3,,PLC,GY
1061,=Q15+K1.G1-G1:16,,panel,=Q15+K1.B1-A21:X1:16,,PLC,PK
1061,=Q15+K1.B1-A21:X1:16,,PLC,=Q15+K1.G1-G1:16,,panel,PK
1062,=Q15+K1.B1-A21:X2:16,,PLC,=V01+K1.B1-A4:6,,PLC,BU
1062,=V01+K1.B1-A4:6,,PLC,=Q15+K1.B1-A21:X2:16,,PLC,BU
1063,=Q15+K1.G1-G2:X2.L,,panel,=Q15+K1.B1-X20:3:4,,panel,1
1063,=Q15+K1.B1-X20:3:4,,panel,=Q15+K1.G1-G2:X2.L,,panel,1
1064,=Q15+K1.B1-X20:3:3,,panel,=Q15+K1.H2-F12:2,,panel,BK
1064,=Q15+K1.H2-F12:2,,panel,=Q15+K1.B1-X20:3:3,,panel,BK
1065,=Q15+K1.H2-F12:1,,panel,=A02+K1.H2-W2.1:2L2,,panel,direkt verbunden
1065,=A02+K1.H2-W2.1:2L2,,panel,=Q15+K1.H2-F12:1,,panel,direkt verbunden
1066,=Q15+K1.G1-G2:X2.N,,panel,=Q15+K1.B1-X20:4:5,,panel,2
1066,=Q15+K1.B1-X20:4:5,,panel,=Q15+K1.G1-G2:X2.N,,panel,2
1067,=Q15+K1.B1-X20:4:2,,panel,=A02+K1.H2-X5:N:2,,panel,BU
1067,=A02+K1.H2-X5:N:2,,panel,=Q15+K1.B1-X20:4:2,,panel,BU
107,=A02+K1.H2-W2:2L2,,panel,=A01+K1.H2-K1:4,,panel,BK
107,=A01+K1.H2-K1:4,,panel,=A02+K1.H2-W2:2L2,,panel,BK
