Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
47,=+,,H07V-K,BU,"1,5",,=A02+K1.H2-X5:N:5,=A01+K1.H2-X1:6:2,,,,,,,,
48,=A01+K1-W101,ÖLFLEX® 550 P 3G0.75 mm,,GNYE,0.75,3 m,=A01+K1.H2-X1:PE:1,=A01+K1.B1-X20:PE,,,,,,,,
49,=A01+K1-W102,ÖLFLEX® 550 P 3G0.75 mm,,BN,0.75,3 m,=A01+K1.H2-X1:7:4,=A01+K1.E1-E1:L,,,,,,,,
50,=A01+K1-W102,ÖLFLEX® 550 P 3G0.75 mm,,GNYE,0.75,3 m,=A01+K1.H2-X1:PE:1,=A01+K1.E1-E1:PE,,,,,,,,
51,=A01+K1-W102,ÖLFLEX® 550 P 3G0.75 mm,,BU,0.75,3 m,=A01+K1.H2-X1:8:5,=A01+K1.E1-E1:N,,,,,,,,
52,=+,,H07V-K,BU,"1,5",,=A02+K1.H2-X5:N:5,=A01+K1.H2-X1:8:2,,,,,,,,
53,=+,,H07V-K,OG,"1,5",,=A01+K1.B1-W7(-P1):P1:1,=A01+K1.H1-G2-L+,,,,,,,,
54,=+,,H07V-K,OG,"1,5",,=A01+K1.H2-F1:2,=A01+K1.H1-G2-L,,,,,,,,
55,=+,,H07V-K,OG,"1,5",,=A01+K1.H2-X1:9:4,=A01+K1.H2-F1:1,,,,,,,,
56,=A01+K1-W103,ÖLFLEX® 550 P 3G0.75 mm,,BN,0.75,3 m,=P01+K1.G1-E1:X4:L,=A01+K1.H2-X1:9:3,,,,,,,,
57,=+,,H07V-K,OG,"1,5",,=A01+K1.H2-X1:10:5,=A01+K1.H1-G2-N,,,,,,,,
58,=A01+K1-W103,ÖLFLEX® 550 P 3G0.75 mm,,BU,0.75,3 m,=P01+K1.G1-E1:X4:N,=A01+K1.H2-X1:10:2,,,,,,,,
59,=+,,H07V-K,OG,"1,5",,=A01+K1.H1-G2-L-,=A01+K1.B1-W7(-P2):P2:1,,,,,,,,
60,=+,,H05V-K,GNYE,"0,75",,=A01+K1.H2-X1:PE:1,=A01+K1.H1-G2-PE,,,,,,,,
61,=+,,H05V-K,GNYE,"0,75",,=A02+K1.H2-X6:2:2,=A01+K1.H1-G2-PE:PE,,,,,,,,
62,=+,,H07V-K,GNYE,"1,5",,=A01+K1.H1-G2-L-,=A02+K1.H2-X6:3:1,,,,,,,,
63,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,1,"0,75",2 m,=A01+K1.H2-X1:11:4,=A02+K1.B1-A5:1,,,,,,,,
64,=+,,H05V-K,BK,"0,75",,=A01+K1.H2-X1:11:3,=A02+K1.H2-Q1:T1,,,,,,,,
65,=+,,H05V-K,BK,"0,75",,=A02+K1.H2-Q1:T1,=A02+K1.H1-G2:L1,,,,,,,,
66,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,2,"0,75",2 m,=A01+K1.H2-X1:12:5,=A02+K1.B1-A5:2,,,,,,,,
67,=+,,H05V-K,BK,"0,75",,=A01+K1.H2-X1:12:2,=A02+K1.H2-Q1:T2,,,,,,,,
68,=+,,H05V-K,BK,"0,75",,=A02+K1.H2-Q1:T2,=A02+K1.H1-G2:L2,,,,,,,,
69,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,3,"0,75",2 m,=A01+K1.H2-X1:13:4,=A02+K1.B1-A5:3,,,,,,,,
70,=+,,H05V-K,BK,"0,75",,=A01+K1.H2-X1:13:3,=A02+K1.H2-Q1:T3,,,,,,,,
71,=+,,H05V-K,BK,"0,75",,=A02+K1.H2-Q1:T3,=A02+K1.H1-G2:L3,,,,,,,,
72,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,4,"0,75",2 m,=A01+K1.H2-X1:15:4,=A02+K1.B1-A5:4,,,,,,,,
73,=+,,H07V-K,BU,"1,5",,=A01+K1.H2-X1:14:5,=A01+K1.H2-X1:15:3,,,,,,,,
74,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,5,"0,75",2 m,=A01+K1.H2-X1:16:5,=A02+K1.B1-A5:5,,,,,,,,
75,=+,,H05V-K,BK,"0,75",,=A01+K1.H2-T1:-L1i,=A01+K1.H2-X1:16:2,,,,,,,,
76,=+,,H05V-K,BU,"0,75",,=A01+K1.H2-T1:-L1k,=A01+K1.H2-T1:-L2k,,,,,,,,
77,=+,,H05V-K,BU,"0,75",,=A01+K1.H2-T1:-L2k,=A01+K1.H2-T1:-L3k,,,,,,,,
78,=+,,H05V-K,BU,"0,75",,=A01+K1.H2-T1:-L3k,=A01+K1.H2-X1:19:3,,,,,,,,
79,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,6,"0,75",2 m,=A01+K1.H2-X1:17:4,=A02+K1.B1-A5:6,,,,,,,,
80,=+,,H05V-K,BK,"0,75",,=A01+K1.H2-T1:-L2i,=A01+K1.H2-X1:17:3,,,,,,,,
81,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,7,"0,75",2 m,=A01+K1.H2-X1:18:5,=A02+K1.B1-A5:7,,,,,,,,
82,=+,,H05V-K,BK,"0,75",,=A01+K1.H2-T1:-L3i,=A01+K1.H2-X1:18:2,,,,,,,,
83,=A01+K1-W106,"ÖLFLEX® CLASSIC 110 12x0,75 mm²",,8,"0,75",2 m,=A01+K1.H2-X1:19:4,=A02+K1.B1-A5:8,,,,,,,,
84,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K1:A2,=A02+K1.B1-W5(-P2):P2:1,,,,,,,,
85,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:34,=A01+K1.H2-K1:A1,,,,,,,,
86,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K1:A1,=A01+K1.H2-K1:13,,,,,,,,
87,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-K1:64,=A02+K1.B1-K20:33,,,,,,,,
88,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1,=F01+K1.B1-K1:63,,,,,,,,
89,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:A2,=A02+K1.B1-W5(-P2):P2:1,,,,,,,,
90,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K1:14,=A01+K1.H2-K2:A1,,,,,,,,
91,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:44,=Q15+K1.H2-F11:14,,,,,,,,
92,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:44,=Q15+K1.H2-F12:13,,,,,,,,
93,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:44,=Q15+K1.H2-F13:13,,,,,,,,
94,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:44,=Q15+K1.H2-F14:14,,,,,,,,
95,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:44,=Q01+K1.H2-Q1:13,,,,,,,,
96,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K1:44,=A01+K1.H2-K2:43,,,,,,,,
97,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1:1,=A01+K1.H2-K1:43,,,,,,,,
98,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-K3:A2,=A02+K1.B1-W5(-P2):P2:2,,,,,,,,
99,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:1,=A01+K1.B1-K3:A1,,,,,,,,
100,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-K3:21,=A02+K1.B1-A3:15,,,,,,,,
101,=+,,H05V-K,BU,"0,5",,=A01+K1.B1-W7(-P1):P1:2,=A01+K1.B1-K3:22,,,,,,,,
102,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L1,=A02+K1.H2-W1:1L1,,,,,,,,
103,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L2,=A02+K1.H2-W1:1L2,,,,,,,,
104,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L3,=A02+K1.H2-W1:1L3,,,,,,,,
105,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-K1:2,=A02+K1.H2-W2:2L1,,,,,,,,
106,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L1,=A01+K1.H2-K1:1,,,,,,,,
107,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-K1:4,=A02+K1.H2-W2:2L2,,,,,,,,
108,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L2,=A01+K1.H2-K1:3,,,,,,,,
109,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-K1:6,=A02+K1.H2-W2:2L3,,,,,,,,
110,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L3,=A01+K1.H2-K1:5,,,,,,,,
111,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L1,=A02+K1.H2-W3:3L1,,,,,,,,
112,=+,,NSGAFÖU,BK,16,,=A01+K1.H2-W0:L2,=A02+K1.H2-W3:3L2,,,,,,,,
